MUSTAFA,1
UMUT,1
SIDDIKA,0
ADIL,1
MELIKE,0
HATICE,0
GENCAY,0
NECMETTIN,1
FEYZA,0
SERDAR,1
HUSEYIN,1
HAVA,0
PEMBE,0
MEHMET MARUF,1
CEMILE,0
DEMET GUL,0
ONDER,1
ADNAN,1
ZEKERIYA,1
BURCU,0
EMRULLAH,1
DIDEM,0
RAMAZAN,1
MEVLANA SADIK,1
HATICE,0
RASIM,1
TANER,1
NEDRET,0
OZER,1
SABAN,1
GULSUM,0
VAKKAS,1
HAKAN,1
LEVENT,1
SABAHAT,0
KENAN,1
RECEP,1
TUBA,0
SALAHATTIN,1
OZKAN,1
DONDU,0
KEZIBAN,0
SABIHA,0
SEYFETTIN,1
ISMAIL,1
MURAT,1
MEHMET,1
GULAGA,1
MEHMET,1
MENICE,0
SEHER,0
ERDINC,1
HURIYET,0
ILKNUR,0
FATMA,0
SEVIM,0
HIKMET,1
KADRIYE,0
MEHMET,1
NURHAYAT,0
GULSUM,0
SEYIT AHMET,1
HARUN,1
UMRAN,0
SEYHAN,0
ISMAIL,1
MERCAN,0
RUKIYE,0
DURDANE,0
RAMAZAN,1
NECDET,1
FATMA,0
EMINE,0
NURAN,0
HACER,0
ZEHRA SEMRA,0
LEVENT,1
SALIH,1
BIRGUL,0
CIGDEM,0
BARIS,1
CABIR,1
HUSEYIN GOKHAN,1
NERIMAN,0
NACIYE,0
CAGATAY,1
HUSEYIN,1
CELIL,1
AYDIN,1
HALIL,1
MUHSINE,0
SONGUL,0
MUSTAFA,1
IBRAHIM,1
MEHMET,1
SATILMIS,1
RAZIYE,0
ALIK,1
AHMET,1
EMINE,0
NEVZAT,1
GULTEN,0
TARIK,1
MEHMETSIRIN,1
ARZU,0
RAMAZAN,1
ISMET,1
MUSTAFA,1
FATMANA,0
ENGIN,1
BIRGUL,0
ILKNUR,0
GULCAN,0
SABAHAT,0
DILEK,0
MEVLUDE,0
ALI,1
IBRAHIM,1
LUTFIYE,0
ZEYCAN,0
NALAN,0
RUKIYE,0
AYNUR,0
FATMA,0
GULSUM,0
METIN,1
MEHMET ALI,1
DURDU,0
HATICE,0
AYSE,0
NALAN,0
MEHMET,1
GULTEN,0
ATILLA,1
NURVET,0
SIHMEHMET,1
SAIT,1
ALI,1
TUKEZ,0
ISMAIL,1
ESMA,0
FETULLAH,1
HANIFE,0
GUNAY,0
YASAR,1
GONUL,0
RIFAT,1
RAMAZAN,1
LOKMAN,1
LOKMAN,1
BEDRI,1
HALIME,0
ELIFE,0
MAHMUT,1
ISMAIL,1
HALIL,1
GULSEN,0
MEKIYE,0
EVRIM,0
SONGUL,0
EMRAH,1
ADILE,0
MUSTAFA,1
BURCU,0
BURCU,0
GONUL,0
MURTEZA,1
HALIME,0
REMZI,1
ALAATTIN TAMER,1
ALI,1
EMEL,0
ZEHRA,0
